0,0,1,1,2,-12,-12,0.71429
480,0,1,1,2,492,492,0.71429
840,0,1,1,2,798,798,0.71429
480,19,0,1,2,496,477,0.71429
480,0,1,1,2,466,466,0.71429
840,-41,0,0,2,829,870,0.28571
480,-24,0,1,2,440,464,0.71429
840,-103,0,0,4,797,900,0
840,43,0,1,2,891,848,0.71429
480,0,1,0,2,438,438,0.28571
480,0,1,0,2,417,417,0.28571
840,0,1,0,3,822,822,0.14286
840,-40,0,0,3,813,853,0.14286
0,0,1,0,4,16,16,0
0,0,1,0,1,16,16,0.42857
840,0,1,0,2,884,884,0.28571
240,30,0,0,2,259,229,0.28571
840,0,1,0,2,842,842,0.28571
840,21,0,1,1,863,842,0.57143
480,-38,0,0,2,467,505,0.28571
0,-39,0,0,4,-12,27,0
240,-17,0,1,1,228,245,0.57143
840,-10,0,0,1,840,850,0.42857
480,10,0,1,1,519,509,0.57143
480,49,0,1,2,495,446,0.71429
840,21,0,1,2,856,835,0.71429
840,-50,0,0,2,826,876,0.28571
0,-51,0,0,4,-44,7,0
0,0,1,1,1,-13,-13,0.57143
240,11,0,1,2,251,240,0.71429
0,0,1,1,4,7,7,1
840,0,1,0,2,823,823,0.28571
840,0,1,1,2,864,864,0.71429
240,23,0,1,2,251,228,0.71429
240,46,0,0,4,280,234,0
240,0,1,1,2,258,258,0.71429
840,0,1,0,1,860,860,0.42857
480,0,1,1,2,479,479,0.71429
840,0,1,1,2,851,851,0.71429
480,-44,0,0,2,410,454,0.28571
480,0,1,0,1,478,478,0.42857
840,-26,0,1,1,830,856,0.57143
480,-4,0,1,1,477,481,0.57143
240,0,1,1,1,262,262,0.57143
240,36,0,0,1,263,227,0.42857
0,-99,0,0,4,-59,40,0
0,-12,0,0,4,-17,-5,0
0,18,0,0,4,53,35,0
840,0,1,0,1,875,875,0.42857
840,0,1,0,1,823,823,0.42857
480,0,1,0,1,463,463,0.42857
480,0,1,0,1,474,474,0.42857
240,0,1,1,2,248,248,0.71429
480,-8,0,1,2,477,485,0.71429
480,0,1,1,2,470,470,0.71429
840,12,0,1,2,865,853,0.71429
480,0,1,1,2,522,522,0.71429
840,0,1,1,2,879,879,0.71429
480,20,0,1,2,487,467,0.71429
0,11,0,0,2,8,-3,0.28571
240,8,0,1,2,239,231,0.71429
480,16,0,1,2,476,460,0.71429
480,71,0,0,4,499,428,0
480,0,1,0,1,443,443,0.42857
840,-52,0,1,2,814,866,0.71429
240,0,1,1,1,268,268,0.57143
240,29,0,0,1,265,236,0.42857
0,26,0,0,1,37,11,0.42857
0,36,0,0,3,22,-14,0.14286
240,0,1,1,2,272,272,0.71429
840,0,1,0,1,776,776,0.42857
840,0,1,1,1,793,793,0.57143
480,4,0,0,1,493,489,0.42857
480,47,0,0,4,515,468,0
840,0,1,1,1,857,857,0.57143
240,-29,0,0,1,219,248,0.42857
840,0,1,0,1,866,866,0.42857
0,18,0,0,4,25,7,0
0,-14,0,0,4,-21,-7,0
480,-24,0,1,2,454,478,0.71429
480,-76,0,0,2,436,512,0.28571
0,0,1,1,2,19,19,0.71429
480,-37,0,0,1,471,508,0.42857
840,0,1,1,2,829,829,0.71429
480,-48,0,0,1,433,481,0.42857
840,36,0,0,1,839,803,0.42857
840,0,1,1,2,842,842,0.71429
840,-38,0,1,1,803,841,0.57143
480,0,1,0,1,481,481,0.42857
480,2,0,0,1,477,475,0.42857
840,-25,0,1,2,836,861,0.71429
840,0,1,0,1,826,826,0.42857
0,0,1,1,2,-53,-53,0.71429
480,0,1,1,2,487,487,0.71429
480,-11,0,1,4,486,497,1
840,0,1,1,2,834,834,0.71429
240,0,1,1,3,231,231,0.85714
0,0,1,1,3,-35,-35,0.85714
0,0,1,1,2,6,6,0.71429
480,0,1,1,4,486,486,1
840,0,1,1,4,865,865,1
480,0,1,1,3,458,458,0.85714
0,0,1,1,4,6,6,1
480,0,1,1,3,492,492,0.85714
840,-78,0,1,2,832,910,0.71429
240,0,1,1,3,224,224,0.85714
0,-39,0,0,4,6,45,0
240,0,1,1,2,290,290,0.71429
480,0,1,1,2,471,471,0.71429
0,-43,0,0,4,-38,5,0
0,-32,0,0,4,-13,19,0
240,0,1,1,3,236,236,0.85714
480,-5,0,1,3,490,495,0.85714
240,12,0,1,3,235,223,0.85714
240,-17,0,1,2,231,248,0.71429
480,22,0,1,2,507,485,0.71429
840,0,1,1,2,844,844,0.71429
840,2,0,1,2,832,830,0.71429
480,0,1,1,2,507,507,0.71429
0,-23,0,0,4,-19,4,0
840,-17,0,0,1,851,868,0.42857
840,0,1,0,1,859,859,0.42857
480,0,1,1,2,464,464,0.71429
0,-7,0,1,1,8,15,0.57143
480,0,1,1,2,458,458,0.71429
0,0,1,1,2,16,16,0.71429
240,14,0,1,2,262,248,0.71429
0,0,1,1,2,-35,-35,0.71429
480,0,1,1,2,496,496,0.71429
840,0,1,1,1,850,850,0.57143
0,0,1,1,2,6,6,0.71429
0,-46,0,0,4,-41,5,0
840,0,1,1,2,819,819,0.71429
840,10,0,0,1,874,864,0.42857
240,0,1,1,1,268,268,0.57143
840,0,1,1,1,851,851,0.57143
480,-64,0,0,1,427,491,0.42857
240,0,1,1,1,224,224,0.57143
0,-4,0,1,1,1,5,0.57143
0,-23,0,0,4,-48,-25,0
240,18,0,1,1,263,245,0.57143
240,0,1,1,1,252,252,0.57143
0,0,1,1,1,35,35,0.57143
0,0,1,1,1,5,5,0.57143
840,0,1,1,1,810,810,0.57143
480,17,0,1,1,471,454,0.57143
840,-32,0,0,1,810,842,0.42857
240,21,0,0,1,258,237,0.42857
0,-19,0,0,1,-10,9,0.42857
0,0,1,1,1,-5,-5,0.57143
840,0,1,0,1,867,867,0.42857
240,0,1,1,1,224,224,0.57143
0,0,1,1,1,34,34,0.57143
240,0,1,1,1,222,222,0.57143
840,0,1,1,1,807,807,0.57143
480,-1,0,1,1,463,464,0.57143
0,-10,0,0,1,16,26,0.42857
0,-12,0,0,1,16,28,0.42857
0,0,1,1,1,-8,-8,0.57143
840,0,1,1,1,857,857,0.57143
840,27,0,1,1,876,849,0.57143
0,-35,0,0,4,-38,-3,0
840,0,1,1,1,851,851,0.57143
0,-37,0,0,1,-22,15,0.42857
240,-3,0,1,1,223,226,0.57143
0,0,1,0,1,16,16,0.42857
480,0,1,1,1,443,443,0.57143
480,0,1,1,1,459,459,0.57143
0,0,1,0,1,-24,-24,0.42857
0,0,1,0,1,-25,-25,0.42857
240,0,1,1,1,235,235,0.57143
840,0,1,1,1,848,848,0.57143
0,0,1,0,1,-39,-39,0.42857
840,0,1,1,1,847,847,0.57143
840,0,1,1,1,785,785,0.57143
240,-86,0,0,1,203,289,0.42857
840,24,0,0,1,826,802,0.42857
840,0,1,0,1,815,815,0.42857
240,0,1,0,1,244,244,0.42857
0,0,1,1,1,-7,-7,0.57143
240,-4,0,1,1,220,224,0.57143
0,-20,0,0,1,-4,16,0.42857
0,0,1,0,1,3,3,0.42857
480,-13,0,0,1,493,506,0.42857
480,48,0,1,1,515,467,0.57143
240,61,0,0,2,260,199,0.28571
0,0,1,1,1,11,11,0.57143
0,38,0,0,1,17,-21,0.42857
840,-49,0,0,2,827,876,0.28571
240,0,1,1,1,221,221,0.57143
480,0,1,1,1,452,452,0.57143
480,0,1,1,1,514,514,0.57143
840,-48,0,0,1,846,894,0.42857
0,-16,0,1,1,-1,15,0.57143
240,0,1,1,1,262,262,0.57143
240,-3,0,1,1,242,245,0.57143
480,10,0,1,1,474,464,0.57143
480,-6,0,1,1,507,513,0.57143
240,65,0,0,3,268,203,0.14286
840,0,1,1,1,831,831,0.57143
